feature,gain
item_n,105214.62940561771
retrieval_score,71601.5816782713
item_n_7d,36450.886442661285
item_days_since_release,31271.721695423126
item_n_90d,26669.83486044407
item_n_30d,20156.72738277912
user_n,10166.65356707573
user_days_since_last,10036.648102998734
user_hours_sum,9682.707944393158
genre_affinity,9368.38502407074
item_price,4589.209181666374
user_n_90d,3084.8500447273254
user_n_7d,2858.6580941677094
user_n_30d,2615.7829604148865
item_log_price,906.3910055160522
ui_n,794.7001113891602
item_is_free,310.24917209148407
