split,part,label,n,n_positive,positive_rate,n_users_positive,n_items_positive
temporal,train,purchase,2686568,2686568,1.0,221870,10027
temporal,train,threshold,2686568,2138609,0.7960375467883187,221624,9827
temporal,train,percentile,2686568,1352831,0.5035536044499898,215907,10009
temporal,test,purchase,323744,323744,1.0,98589,8573
temporal,test,threshold,323744,262238,0.8100165562913907,90648,7470
temporal,test,percentile,323744,147381,0.4552393248986854,65782,7419
random,train,purchase,2554102,2554102,1.0,216491,11287
random,train,threshold,2554102,2034720,0.7966479020806531,216236,10998
random,train,percentile,2554102,1287176,0.5039642112961816,210549,11263
random,test,purchase,573461,573461,1.0,167001,10676
random,test,threshold,573461,454992,0.7934140246677629,154816,9525
random,test,percentile,573461,285767,0.49831985087041664,123655,9699
