run_id,phase,split,label,model,metric,k,value,n_users,slice
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.05704077150157322,20000,overall
20260914T084052Z,3,temporal,purchase,most_popular,ndcg,10,0.06491516060166021,20000,overall
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.15211932696852837,20000,overall
20260914T084052Z,3,temporal,purchase,most_popular,ndcg,50,0.08559261959103957,20000,overall
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.22225191016011966,20000,overall
20260914T084052Z,3,temporal,purchase,most_popular,ndcg,100,0.10362419710710051,20000,overall
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.0,610,popularity_decile_1
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.0,610,popularity_decile_1
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.0,610,popularity_decile_1
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.0,638,popularity_decile_2
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.0,638,popularity_decile_2
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.0,638,popularity_decile_2
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.0,857,popularity_decile_3
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.0,857,popularity_decile_3
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.0,857,popularity_decile_3
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.0,1139,popularity_decile_4
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.0,1139,popularity_decile_4
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.0,1139,popularity_decile_4
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.0,1999,popularity_decile_5
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.0,1999,popularity_decile_5
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.0,1999,popularity_decile_5
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.0,2525,popularity_decile_6
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.0,2525,popularity_decile_6
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.0,2525,popularity_decile_6
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.0,3669,popularity_decile_7
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.0,3669,popularity_decile_7
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.0,3669,popularity_decile_7
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.0,5254,popularity_decile_8
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.0,5254,popularity_decile_8
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.0,5254,popularity_decile_8
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.0,9047,popularity_decile_9
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.0,9047,popularity_decile_9
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.0,9047,popularity_decile_9
20260914T084052Z,3,temporal,purchase,most_popular,recall,10,0.08371827308064607,17489,popularity_decile_10
20260914T084052Z,3,temporal,purchase,most_popular,recall,50,0.22344508494699938,17489,popularity_decile_10
20260914T084052Z,3,temporal,purchase,most_popular,recall,100,0.32844314294622,17489,popularity_decile_10
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,10,0.05174400184829733,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_content,ndcg,10,0.05161294910718378,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,50,0.1514485848022109,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_content,ndcg,50,0.0778423243582452,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,100,0.23469701738764978,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_content,ndcg,100,0.09859472315432805,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,10,0.0,610,popularity_decile_1
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,50,0.0,610,popularity_decile_1
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,100,0.0,610,popularity_decile_1
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,10,0.0,638,popularity_decile_2
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,50,0.0,638,popularity_decile_2
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,100,0.0,638,popularity_decile_2
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,10,0.0007001166861143524,857,popularity_decile_3
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,50,0.0030338389731621937,857,popularity_decile_3
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,100,0.007955247443201318,857,popularity_decile_3
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,10,0.000877963125548727,1139,popularity_decile_4
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,50,0.006614849627296046,1139,popularity_decile_4
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,100,0.01280735882295558,1139,popularity_decile_4
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,10,0.002001000500250125,1999,popularity_decile_5
